floor,price,size,exterior,rooms,bathrooms,latitude,longitude,distance,newDevelopment,hasLift,priceByArea,topNewDevelopment,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,propertyType_chalet,propertyType_duplex,propertyType_flat,propertyType_penthouse,propertyType_studio,status_good,status_newdevelopment,status_renew,codbar_1,codbar_2,codbar_3,codbar_4,codbar_5,coddistrit_1,coddistrit_2,coddistrit_3
3.0,920000,175.0,1,3,2,40.4240614,-3.6708673,3756,0,1,5257,0,0,1,1,0,0,1,0,0,1,0,0,0.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-2.0
3.0,920000,166.0,1,3,2,40.4368659,-3.6974416,1118,0,1,5542,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
1.0,347000,75.0,1,1,1,40.3960587,-3.6975291,4998,1,1,4627,0,0,0,0,0,1,0,0,0,0,1,0,1.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0
1.0,317000,72.0,1,1,1,40.3960587,-3.6975291,4998,1,1,4403,0,0,0,0,0,0,1,0,0,0,1,0,1.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0
1.0,288000,55.0,1,1,1,40.3960587,-3.6975291,4998,1,1,5236,0,0,0,0,0,0,1,0,0,0,1,0,1.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0
1.0,450000,139.0,1,4,2,40.4039244,-3.6757089,4951,0,1,3237,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
5.0,799000,146.0,1,4,3,40.4225222,-3.6780051,3333,0,1,5473,0,0,0,0,0,0,1,0,0,1,0,0,0.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,-2.0
1.0,239000,50.0,1,1,1,40.50095,-3.65309,8312,0,1,4780,0,0,1,1,0,0,1,0,0,1,0,0,2.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
1.0,795000,132.0,1,3,2,40.4194177,-3.6748719,3751,0,1,6023,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
2.0,4350000,404.0,1,5,6,40.4259814,-3.685267,2609,0,1,10767,0,0,1,0,0,0,1,0,0,1,0,0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-1.0,-2.0
14.0,595000,131.0,1,4,2,40.4325271,-3.7168318,1012,0,1,4542,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
4.0,3150000,705.0,1,6,4,40.436388,-3.6943342,1385,0,1,4468,0,0,1,1,0,0,1,0,0,0,0,1,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
1.0,995000,134.0,1,3,2,40.4326732,-3.6980008,1301,1,1,7425,0,0,0,0,0,0,1,0,0,0,1,0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0
1.0,975000,210.0,1,4,4,40.5051514,-3.6241324,10258,0,1,4643,0,0,1,1,0,0,1,0,0,1,0,0,2.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
0.0,1485000,380.0,0,5,6,40.4628928,-3.7766299,6185,0,0,3908,0,0,1,1,1,0,0,0,0,1,0,0,1.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
0.0,1300000,450.0,0,6,5,40.4522433,-3.6490419,5334,0,0,2889,0,0,1,1,1,0,0,0,0,1,0,0,1.0,1.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
0.0,555000,159.0,0,3,2,40.4269529,-3.7063009,1484,0,1,3491,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,-1.0
2.0,2950000,250.0,1,4,4,40.4210559,-3.6848259,2996,0,1,11800,0,0,1,0,0,0,1,0,0,1,0,0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-1.0,-2.0
6.0,1300000,221.0,1,5,3,40.4408106,-3.7080361,189,0,1,5882,0,0,1,0,0,0,1,0,0,1,0,0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0
6.0,569000,109.0,1,3,2,40.4409856,-3.6958553,1201,0,1,5220,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0
3.0,920000,216.0,1,5,2,40.4530839,-3.6817158,2800,0,1,4259,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
2.0,650000,186.0,1,4,2,40.4342999,-3.67329,3170,0,1,3495,0,0,1,0,0,0,1,0,0,0,0,1,0.0,0.0,-2.0,-1.0,-1.0,0.0,-1.0,-2.0
1.0,309000,49.0,1,1,1,40.4019695,-3.7200203,4312,1,1,6306,0,0,1,1,0,0,1,0,0,0,1,0,0.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
0.0,1000000,204.0,0,6,2,40.4710527,-3.6819862,4187,0,0,4902,0,0,1,1,1,0,0,0,0,1,0,0,2.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0
3.0,360000,114.0,0,3,1,40.4178079,-3.699241,2630,0,0,3158,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,-1.0
2.0,2030000,250.0,1,3,3,40.4307961,-3.6964951,1534,0,1,8120,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
2.0,970000,180.0,1,4,3,40.4638229,-3.6875592,3259,0,1,5389,0,0,1,1,0,0,1,0,0,0,0,1,2.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0
2.0,1230000,361.0,1,4,4,40.4570434,-3.646535,5694,0,1,3407,0,0,1,1,0,0,1,0,0,1,0,0,1.0,1.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
2.0,395000,110.0,1,3,2,40.4038413,-3.6736213,5064,0,1,3591,0,0,1,0,0,0,1,0,0,0,0,1,1.0,0.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
0.0,550000,115.0,1,2,2,40.4655964,-3.7949941,7733,0,1,4783,0,0,1,1,0,0,1,0,0,1,0,0,1.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
5.0,445000,94.0,0,1,1,40.4416129,-3.7030326,616,0,1,4734,0,0,1,1,0,0,1,0,0,1,0,0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0
0.0,2200000,224.0,1,4,3,40.4152879,-3.6897847,3236,0,1,9821,0,0,0,0,0,0,1,0,0,1,0,0,2.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0
0.0,2500000,369.0,0,5,4,40.4440038,-3.6918381,1600,0,0,6775,0,0,1,1,1,0,0,0,0,0,0,1,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0
0.0,1500000,221.0,1,2,3,40.4093977,-3.6887781,3847,0,1,6787,0,0,1,1,0,1,0,0,0,1,0,0,2.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0
0.0,1750000,998.0,0,8,7,40.467823,-3.8083368,8876,0,0,1754,0,0,0,0,1,0,0,0,0,0,0,1,1.0,1.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
0.0,1395000,700.0,0,5,4,40.4702474,-3.7253917,3606,0,0,1993,0,0,1,1,1,0,0,0,0,1,0,0,0.0,1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0
2.0,647000,117.0,1,3,2,40.4019695,-3.7200203,4312,1,1,5530,0,0,1,1,0,0,1,0,0,0,1,0,0.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0
4.0,7525000,624.0,1,5,1,40.4213884,-3.6905535,2644,0,1,12059,0,0,1,1,0,0,1,0,0,1,0,0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-1.0,-2.0
2.0,2200000,312.0,1,4,5,40.4255121,-3.6870692,2522,0,1,7051,0,0,1,0,0,0,1,0,0,1,0,0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-1.0,-2.0
4.0,499000,88.0,1,2,2,40.4317472,-3.6936366,1661,0,0,5670,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0
0.0,4975000,1150.0,0,9,8,40.4577352,-3.631468,6931,0,0,4326,0,0,1,1,1,0,0,0,0,1,0,0,1.0,1.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
0.0,3950000,1500.0,0,6,6,40.4529393,-3.6491062,5349,0,0,2633,0,0,0,0,1,0,0,0,0,1,0,0,1.0,1.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
0.0,3500000,700.0,0,5,5,40.4494918,-3.6432044,5749,0,0,5000,0,0,1,1,1,0,0,0,0,1,0,0,1.0,1.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
6.0,494000,129.0,1,2,2,40.4908333,-3.6075219,10348,1,1,3829,0,0,1,1,0,0,1,0,0,0,1,0,2.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
4.0,146500,56.0,1,2,1,40.4748064,-3.645484,6691,0,0,2616,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,-2.0,-1.0,-1.0,0.0,-2.0,0.0
1.0,450000,77.0,1,1,1,40.458785,-3.6854493,2945,0,1,5844,0,0,0,0,0,0,1,0,0,1,0,0,2.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0
1.0,298000,44.0,1,1,1,40.4147489,-3.7094168,2808,0,1,6773,0,0,0,0,0,0,1,0,0,1,0,0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-2.0,-1.0
5.0,168000,29.0,1,1,1,40.423631,-3.7024416,1929,0,0,5793,0,0,0,0,0,0,1,0,0,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,-1.0
4.0,268000,50.0,1,1,1,40.4186351,-3.7045432,2420,0,0,5360,0,0,0,0,0,0,1,0,0,0,0,1,1.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,-1.0
4.0,178000,35.0,0,0,1,40.4252887,-3.69967,1854,0,1,5086,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-2.0,-1.0
4.0,188000,48.0,0,0,1,40.4207865,-3.6976876,2376,0,1,3917,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,-2.0,-1.0,-1.0,0.0,-2.0,-1.0
4.0,158000,29.0,1,0,1,40.4262611,-3.7079943,1537,0,0,5448,0,0,0,0,0,0,0,0,1,1,0,0,1.0,0.0,-1.0,-1.0,-1.0,0.0,-2.0,-1.0
2.0,189000,54.0,1,1,1,40.362006,-3.7501348,9314,0,1,3500,0,0,1,1,0,0,1,0,0,1,0,0,1.0,0.0,-2.0,-1.0,-1.0,0.0,-3.0,-1.0
3.0,264900,62.0,0,2,1,40.4441914,-3.6780843,2740,0,0,4273,0,0,0,0,0,0,1,0,0,1,0,0,2.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0
4.0,650000,120.0,1,4,2,40.4312933,-3.7179169,1177,0,1,5417,0,0,0,0,0,0,1,0,0,1,0,0,0.0,2.0,0.0,-1.0,-1.0,0.0,-1.0,0.0
0.0,2200000,796.0,0,4,4,40.4512485,-3.637776,6238,0,0,2764,0,0,0,0,1,0,0,0,0,0,0,1,1.0,1.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0
