floor,price,propertyType,size,exterior,rooms,bathrooms,latitude,longitude,distance,status,newDevelopment,hasLift,priceByArea,topNewDevelopment,newDevelopmentFinished,hasParkingSpace,isParkingSpaceIncludedInPrice,codbar,coddistrit
0.0,1600000,chalet,200.0,False,4,4,40.4570872,-3.6562192,4931,good,False,0.0,8000,False,0.0,True,True,157.0,15.0
2.0,114000,flat,57.0,True,2,1,40.3820521,-3.7033778,6467,good,False,0.0,2000,False,0.0,False,False,124.0,12.0
0.0,156880,flat,26.0,False,1,1,40.4217914,-3.7064391,2046,good,False,0.0,6034,False,0.0,False,False,15.0,1.0
0.0,299000,flat,75.0,True,1,1,40.4379615,-3.715617,526,good,False,1.0,3987,False,0.0,False,False,71.0,7.0
4.0,137000,flat,71.0,True,3,1,40.3887373,-3.7411726,6281,good,False,0.0,1930,False,0.0,False,False,114.0,11.0
2.0,130000,flat,64.0,True,3,1,40.3851393,-3.7449553,6779,good,False,0.0,2031,False,0.0,False,False,114.0,11.0
3.0,375000,flat,75.0,True,3,1,40.4096417,-3.691318,3727,renew,False,0.0,5000,False,0.0,False,False,35.0,3.0
1.0,435000,flat,80.0,True,2,1,40.4380562,-3.6704464,3354,good,False,1.0,5438,False,0.0,True,False,44.0,4.0
3.0,489000,flat,134.0,False,3,2,40.5028835,-3.706197,6999,good,False,1.0,3649,False,0.0,True,True,87.0,8.0
3.0,370000,flat,82.0,True,2,1,40.4327125,-3.6649623,3896,renew,False,1.0,4512,False,0.0,False,False,44.0,4.0
4.0,540000,flat,100.0,True,2,1,40.4116701,-3.7148098,3176,good,False,1.0,5400,False,0.0,False,False,11.0,1.0
6.0,189000,flat,88.0,False,3,2,40.4954884,-3.6923942,6346,good,False,1.0,2148,False,0.0,False,False,86.0,8.0
1.0,470000,flat,80.0,True,2,1,40.4343082,-3.7010224,988,good,False,0.0,5875,False,0.0,False,False,73.0,7.0
1.0,250000,flat,50.0,False,1,1,40.4189521,-3.6968038,2593,good,False,0.0,5000,False,0.0,False,False,14.0,1.0
1.0,265000,flat,48.0,True,1,1,40.4229521,-3.6976038,2166,good,False,0.0,5521,False,0.0,False,False,14.0,1.0
1.0,215000,studio,49.0,False,0,1,40.4202521,-3.6967038,2467,good,False,0.0,4388,False,0.0,False,False,14.0,1.0
0.0,380000,flat,120.0,True,2,2,40.427758,-3.7019538,1522,renew,False,0.0,3167,False,0.0,False,False,15.0,1.0
4.0,270000,flat,83.0,True,4,1,40.4494135,-3.7063736,1090,good,False,0.0,3253,False,0.0,False,False,61.0,6.0
1.0,259000,flat,82.0,False,2,2,40.4354256,-3.6995333,1021,renew,False,1.0,3159,False,0.0,False,False,73.0,7.0
1.0,1050000,flat,238.0,True,5,3,40.4134681,-3.6747614,4195,renew,False,1.0,4412,False,0.0,False,False,36.0,3.0
2.0,1400000,flat,287.0,True,4,3,40.460226,-3.6864317,3005,renew,False,1.0,4878,False,0.0,True,True,55.0,5.0
2.0,320000,flat,83.0,True,3,2,40.4038366,-3.6997362,4113,good,False,0.0,3855,False,0.0,False,False,26.0,2.0
0.0,3900000,chalet,1300.0,False,8,9,40.4729402,-3.7701977,6273,good,False,0.0,3000,False,0.0,True,True,95.0,9.0
0.0,1545000,chalet,384.0,False,5,5,40.4581674,-3.6259683,7391,good,False,0.0,4023,False,0.0,True,True,162.0,16.0
0.0,1830000,chalet,450.0,False,5,6,40.4565507,-3.6504409,5365,good,False,0.0,4067,False,0.0,True,True,162.0,16.0
6.0,1100000,penthouse,183.0,True,3,3,40.4207599,-3.6748648,3663,good,False,1.0,6011,False,0.0,False,False,34.0,3.0
0.0,1950000,chalet,370.0,False,7,4,40.4588218,-3.6668024,4211,good,False,0.0,5270,False,0.0,True,True,54.0,5.0
2.0,281811,flat,108.0,True,3,2,40.3659919,-3.6216759,11119,newdevelopment,True,1.0,2609,False,0.0,True,True,181.0,18.0
5.0,1585000,flat,178.0,True,3,4,40.4298205,-3.6920423,1894,good,False,1.0,8904,False,0.0,True,True,74.0,7.0
1.0,590000,flat,130.0,True,3,2,40.4378065,-3.7144451,448,good,False,1.0,4538,False,0.0,False,False,71.0,7.0
2.0,615333,flat,129.0,True,3,2,40.40805,-3.72116,3675,newdevelopment,True,1.0,4770,False,0.0,True,True,21.0,2.0
1.0,1150000,flat,260.0,True,4,3,40.4300892,-3.7102035,1102,good,False,1.0,4423,False,0.0,True,False,72.0,7.0
4.0,249000,flat,66.0,True,3,1,40.4506819,-3.7065698,1222,good,False,1.0,3773,False,0.0,False,False,61.0,6.0
4.0,890000,penthouse,85.0,True,2,2,40.42343,-3.677531,3308,good,False,1.0,10471,False,0.0,False,False,42.0,4.0
1.0,285000,flat,105.0,True,4,2,40.4365019,-3.6386986,6046,good,False,1.0,2714,False,0.0,True,True,152.0,15.0
2.0,180000,flat,88.0,True,2,2,40.3811296,-3.6148995,10376,good,False,1.0,2045,False,0.0,False,False,182.0,18.0
2.0,190000,flat,69.0,False,2,1,40.4573148,-3.7042083,1986,good,False,0.0,2754,False,0.0,False,False,66.0,6.0
1.0,175000,flat,83.0,True,3,1,40.4290136,-3.6337112,6570,renew,False,1.0,2108,False,0.0,False,False,152.0,15.0
2.0,170000,flat,110.0,True,3,2,40.4031687,-3.6545808,6227,renew,False,1.0,1545,False,0.0,False,False,136.0,13.0
1.0,795000,flat,151.0,True,3,3,40.4449372,-3.6967632,1247,good,False,1.0,5265,False,0.0,False,False,75.0,7.0
1.0,450000,flat,92.0,True,2,2,40.4565627,-3.6257205,7365,renew,False,1.0,4891,False,0.0,True,True,162.0,16.0
4.0,485000,penthouse,97.0,True,2,1,40.5124985,-3.6936824,8178,good,False,1.0,5000,False,0.0,True,True,88.0,8.0
2.0,119000,flat,41.0,False,2,1,40.4565569,-3.707142,1856,renew,False,1.0,2902,False,0.0,False,False,61.0,6.0
7.0,205000,flat,66.0,True,2,1,40.476991,-3.7125586,4118,renew,False,1.0,3106,False,0.0,False,False,84.0,8.0
3.0,117000,flat,64.0,True,2,1,40.3832295,-3.7436264,6924,good,False,0.0,1828,False,0.0,True,True,114.0,11.0
1.0,146000,flat,64.0,True,2,1,40.3970091,-3.633892,8022,good,False,0.0,2281,False,0.0,False,False,141.0,14.0
2.0,250000,flat,75.0,True,2,1,40.4301016,-3.6513505,5084,good,False,1.0,3333,False,0.0,False,False,151.0,15.0
0.0,169000,flat,60.0,True,3,1,40.3974515,-3.6348721,7926,good,False,0.0,2817,False,0.0,False,False,141.0,14.0
1.0,80000,flat,53.0,True,2,1,40.3470344,-3.7131379,10340,good,False,0.0,1509,False,0.0,False,False,171.0,17.0
1.0,120000,flat,66.0,True,3,1,40.381358,-3.739427,6980,renew,False,0.0,1818,False,0.0,False,False,115.0,11.0
0.0,250000,flat,101.0,True,2,2,40.4750294,-3.6448179,6751,good,False,0.0,2475,False,0.0,True,True,164.0,16.0
-1.0,249000,flat,48.0,False,2,1,40.4260202,-3.6652003,4097,good,False,1.0,5188,False,0.0,False,False,43.0,4.0
2.0,190000,flat,58.0,True,2,1,40.4379057,-3.6474045,5302,good,False,1.0,3276,False,0.0,False,False,154.0,15.0
-1.0,140000,flat,60.0,True,2,1,40.397586,-3.715709,4740,good,False,1.0,2333,False,0.0,False,False,111.0,11.0
1.0,175000,flat,36.0,False,1,1,40.4461715,-3.6715012,3329,good,False,0.0,4861,False,0.0,False,False,53.0,5.0
5.0,910000,flat,302.0,True,5,3,40.479001,-3.7414179,5086,renew,False,1.0,3013,False,0.0,True,False,82.0,8.0
2.0,695000,flat,221.0,True,4,3,40.4791855,-3.7334396,4787,renew,False,1.0,3145,False,0.0,True,True,83.0,8.0
4.0,151000,flat,85.0,False,3,1,40.3878523,-3.736388,6213,good,False,0.0,1776,False,0.0,False,False,114.0,11.0
1.0,1100000,flat,307.0,True,7,0,40.4183305,-3.7082789,2413,renew,False,1.0,3583,False,0.0,False,False,16.0,1.0
0.0,130000,duplex,45.0,True,1,2,40.4566262,-3.7054121,1888,good,False,0.0,2889,False,0.0,False,False,66.0,6.0
2.0,184000,flat,36.0,True,1,1,40.4102394,-3.6995801,3424,good,False,0.0,5111,False,0.0,False,False,12.0,1.0
8.0,205000,flat,93.0,True,3,2,40.3844929,-3.6094444,10514,good,False,1.0,2204,False,0.0,False,False,182.0,18.0
