propertyCode,thumbnail,externalReference,numPhotos,floor,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,district,country,neighborhood,latitude,longitude,showAddress,url,distance,hasVideo,status,newDevelopment,hasLift,priceByArea,suggestedTexts,hasPlan,has3DTour,has360,hasStaging,topNewDevelopment,newDevelopmentFinished,subTypology,hasParkingSpace,isParkingSpaceIncludedInPrice,codbar,coddistrit,codbarrio,barrio,distrito
94642845,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/79/89/08/894286362.jpg,1299,30,1,329000,flat,sale,74.0,True,3,2,barrio Pilar,Madrid,Madrid,Fuencarral,es,Pilar,40.47785,-3.7088178,False,https://www.idealista.com/inmueble/94642845/,4209,False,good,False,1.0,4446,"{'subtitle': 'Pilar, Madrid', 'title': 'Piso'}",True,False,False,False,False,,,,,84.0,8.0,8-4,El Pilar,Fuencarral - El Pardo
94637458,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/89/bc/b3/894138272.jpg,SA-RE0012,36,bj,790000,flat,sale,127.0,True,2,2,barrio Recoletos,Madrid,Madrid,Barrio de Salamanca,es,Recoletos,40.4298023,-3.6883227,False,https://www.idealista.com/inmueble/94637458/,2156,False,good,False,1.0,6220,"{'subtitle': 'Recoletos, Madrid', 'title': 'Piso'}",True,False,False,False,False,,,,,46.0,4.0,4-6,Castellana,Salamanca
94376577,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/98/e3/1a/887202645.jpg,2021028,26,1,250000,flat,sale,57.0,True,2,1,barrio Guindalera,Madrid,Madrid,Barrio de Salamanca,es,Guindalera,40.429329,-3.6635872,False,https://www.idealista.com/inmueble/94376577/,4103,False,good,False,0.0,4386,"{'subtitle': 'Guindalera, Madrid', 'title': 'Piso'}",True,False,True,False,False,,,,,43.0,4.0,4-3,Fuente del Berro,Salamanca
93243139,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/b5/22/92/857885339.jpg,,32,1,555000,flat,sale,125.0,True,3,2,"Calle de Donoso Cortés, 15",Madrid,Madrid,Chamberí,es,Arapiles,40.4360042,-3.7072212,True,https://www.idealista.com/inmueble/93243139/,502,False,good,False,1.0,4440,"{'subtitle': 'Arapiles, Madrid', 'title': 'Piso en Calle de Donoso Cortés, 15'}",True,False,True,False,False,,,,,72.0,7.0,7-2,Arapiles,Chamberí
89461379,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/9f/7e/eb/809186145.jpg,SV-60418075,27,8,1038800,flat,sale,215.0,True,4,2,Paseo de la Castellana,Madrid,Madrid,Tetuán,es,Cuzco-Castillejos,40.4643947,-3.6918903,False,https://www.idealista.com/inmueble/89461379/,3115,False,good,False,1.0,4832,"{'subtitle': 'Cuzco-Castillejos, Madrid', 'title': 'Piso en Paseo de la Castellana'}",True,False,True,False,False,,,,,63.0,6.0,6-3,Castillejos,Tetuán
94641066,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/94/81/94/894273331.jpg,Solaris P2 - Ático B,6,7,359000,penthouse,sale,110.0,True,2,2,"Enrique Urquijo, 130",Madrid,Madrid,Vicálvaro,es,El Cañaveral - Los Berrocales,40.40158,-3.55845,True,https://www.idealista.com/inmueble/94641066/,13521,False,good,False,1.0,3264,"{'subtitle': 'El Cañaveral - Los Berrocales, Madrid', 'title': 'Ático en Enrique Urquijo, 130'}",True,False,False,False,False,,penthouse,True,True,191.0,19.0,19-1,Casco Histórico de Vicálvaro,Vicálvaro
94640232,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/31/63/86/894214773.jpg,MN-3610,16,2,180000,flat,sale,84.0,True,3,1,Calle SIGLO FUTURO,Madrid,Madrid,Carabanchel,es,Puerta Bonita,40.3794931,-3.7458376,False,https://www.idealista.com/inmueble/94640232/,7380,True,renew,False,0.0,2143,"{'subtitle': 'Puerta Bonita, Madrid', 'title': 'Piso en Calle SIGLO FUTURO'}",False,False,False,False,False,,,,,115.0,11.0,11-5,Puerta Bonita,Carabanchel
94639526,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/90/8b/13/894197343.jpg,MN-3608,16,3,450000,flat,sale,89.0,False,4,1,Calle SANTA ENGRACIA,Madrid,Madrid,Chamberí,es,Nuevos Ministerios-Ríos Rosas,40.4433341,-3.6996054,False,https://www.idealista.com/inmueble/94639526/,954,True,good,False,1.0,5056,"{'subtitle': 'Nuevos Ministerios-Ríos Rosas, Madrid', 'title': 'Piso en Calle SANTA ENGRACIA'}",False,False,False,False,False,,,,,75.0,7.0,7-5,Rios Rosas,Chamberí
94635570,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/95/70/4b/894078090.jpg,PIS_8225,15,,205000,flat,sale,83.0,True,2,2,"Calle de Belmonte de Tajo, 40",Madrid,Madrid,Carabanchel,es,Opañel,40.3916703,-3.7199731,True,https://www.idealista.com/inmueble/94635570/,5439,False,good,False,,2470,"{'subtitle': 'Opañel, Madrid', 'title': 'Piso en Calle de Belmonte de Tajo, 40'}",False,False,False,False,False,,,,,112.0,11.0,11-2,Opañel,Carabanchel
94634352,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/a8/b3/51/894042090.jpg,MN-3606,14,1,380000,flat,sale,112.0,True,4,2,Calle ALCALÁ,Madrid,Madrid,Ciudad Lineal,es,Quintana,40.4352175,-3.6443136,False,https://www.idealista.com/inmueble/94634352/,5584,True,renew,False,1.0,3393,"{'subtitle': 'Quintana, Madrid', 'title': 'Piso en Calle ALCALÁ'}",False,False,False,False,False,,,,,153.0,15.0,15-3,Quintana,Ciudad Lineal
94632330,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/c3/e3/68/893992015.jpg,SIRE-1240,5,,118000,flat,sale,91.0,False,3,1,Calle Sargento Barriga,Madrid,Madrid,Villaverde,es,Villaverde Alto,40.3448139,-3.7026714,False,https://www.idealista.com/inmueble/94632330/,10601,False,renew,False,0.0,1297,"{'subtitle': 'Villaverde Alto, Madrid', 'title': 'Piso en Calle Sargento Barriga'}",False,False,False,False,False,,,,,171.0,17.0,17-1,San Andrés,Villaverde
94632232,https://img3.idealista.com/blur/WEB_LISTING/0/id.pro.es.image.master/e3/24/7c/893991061.jpg,JARE-1340,7,2,169250,flat,sale,68.0,False,3,1,Calle Paravicinos,Madrid,Madrid,Tetuán,es,Bellas Vistas,40.455413,-3.7075419,False,https://www.idealista.com/inmueble/94632232/,1726,False,good,False,0.0,2489,"{'subtitle': 'Bellas Vistas, Madrid', 'title': 'Piso en Calle Paravicinos'}",False,False,False,False,False,,,,,61.0,6.0,6-1,Bellas Vistas,Tetuán
